Step,Location,Points,Drive (min),Photo (min),Extra (min),Cumulative Time (h),Cumulative Dist (km),Notes
1,Start C,0,0,0,0,0.00,0,START
2,036,806,20,3,0,0.38,24.6,
3,110,832,34,3,0,1.00,58.4,
4,002,451,14,3,0,1.29,71.2,
5,113,867,45,3,0,2.09,120.3,
6,091,1450,23,3,0,2.53,140.5,
7,114,503,21,3,0,2.93,160.6,
8,116,767,61,3,0,3.99,230.2,
9,118,1380,82,3,30,5.90,334.2,fuel stop; tunnel +2000pts
10,042,999,41,3,0,6.64,373.7,
11,117,1380,25,3,0,7.10,397.7,
12,077,501,10,3,0,7.33,409.2,
13,099,888,35,3,0,7.96,440.2,
14,029,898,33,3,15,8.80,480.7,fuel stop
15,106,982,32,3,0,9.38,525.9,
16,050,800,99,3,0,11.08,683.4,
17,Finish,0,25,0,0,11.49,714.0,FINISH
