Route,Score,Waypoint Pts,Bonuses,Start,Time (h),Distance (km),Stops,Margin (min),Combos,Tunnel,Waypoints
1,16359,14359,2000,Start G,11.50,707.8,15,0,none,YES,Start G > 080 > 041 > 078 > 072 > 118 > 117 > 077 > 029 > 099 > 011 > 106 > 091 > 113 > 050 > 065 > Finish
2,16247,16247,0,Start G,11.50,657.8,17,0,none,no,Start G > 040 > 080 > 041 > 078 > 120 > 104 > 027 > 072 > 118 > 042 > 117 > 077 > 099 > 029 > 091 > 113 > 050 > Finish
3,15905,13905,2000,Start B,11.41,706.8,14,5,none,YES,Start B > 072 > 078 > 118 > 117 > 077 > 029 > 097 > 116 > 091 > 114 > 113 > 021 > 075 > 050 > Finish
4,15758,15758,0,Start G,11.49,639.6,17,0,none,no,Start G > 120 > 040 > 080 > 041 > 078 > 118 > 117 > 042 > 077 > 099 > 029 > 116 > 075 > 091 > 114 > 113 > 050 > Finish
5,15706,13706,2000,Start B,11.49,711.0,14,1,none,YES,Start B > 078 > 072 > 118 > 017 > 028 > 117 > 042 > 029 > 011 > 106 > 091 > 114 > 050 > 065 > Finish
6,15627,13627,2000,Start B,11.46,716.7,14,2,none,YES,Start B > 078 > 072 > 118 > 117 > 077 > 099 > 011 > 106 > 029 > 097 > 091 > 114 > 075 > 050 > Finish
7,15604,15604,0,Start B,11.43,684.6,16,4,none,no,Start B > 072 > 027 > 118 > 117 > 077 > 099 > 029 > 043 > 069 > 068 > 036 > 110 > 113 > 091 > 114 > 050 > Finish
8,15595,15595,0,Start G,11.38,688.1,17,7,none,no,Start G > 040 > 080 > 041 > 078 > 118 > 028 > 017 > 117 > 077 > 029 > 106 > 091 > 113 > 021 > 075 > 114 > 050 > Finish
9,15559,15559,0,Start B,11.45,712.9,15,3,none,no,Start B > 078 > 072 > 027 > 118 > 117 > 042 > 077 > 029 > 106 > 043 > 021 > 113 > 091 > 114 > 050 > Finish
10,15540,15540,0,Start G,11.49,647.0,16,0,none,no,Start G > 040 > 080 > 041 > 078 > 120 > 027 > 072 > 117 > 118 > 028 > 017 > 077 > 099 > 029 > 116 > 091 > Finish
11,15518,13518,2000,Start B,11.49,719.3,13,1,none,YES,Start B > 072 > 078 > 118 > 117 > 042 > 077 > 099 > 083 > 043 > 091 > 114 > 113 > 050 > Finish
12,15507,15507,0,Start B,11.49,594.1,18,0,none,no,Start B > 118 > 042 > 017 > 028 > 117 > 077 > 099 > 029 > 011 > 106 > 043 > 021 > 075 > 114 > 113 > 091 > 050 > 065 > Finish
13,15503,15503,0,Start G,11.44,664.2,17,3,none,no,Start G > 040 > 080 > 041 > 078 > 118 > 017 > 028 > 117 > 042 > 077 > 029 > 116 > 011 > 106 > 091 > 114 > 050 > Finish
14,15476,15476,0,Start G,11.50,684.1,16,0,none,no,Start G > 040 > 080 > 041 > 078 > 072 > 118 > 117 > 077 > 029 > 097 > 116 > 091 > 114 > 113 > 050 > 065 > Finish
15,15447,13447,2000,Start B,11.48,718.6,12,1,none,YES,Start B > 072 > 078 > 117 > 077 > 099 > 118 > 029 > 106 > 043 > 021 > 091 > 050 > Finish
16,15443,15443,0,Start B,11.48,642.7,17,1,none,no,Start B > 118 > 117 > 077 > 017 > 028 > 078 > 041 > 120 > 104 > 027 > 072 > 020 > 097 > 116 > 091 > 113 > 050 > Finish
17,15394,15394,0,Start B,11.40,678.2,16,6,none,no,Start B > 118 > 117 > 028 > 017 > 042 > 099 > 072 > 027 > 111 > 097 > 116 > 029 > 106 > 091 > 114 > 050 > Finish
18,15379,15379,0,Start G,11.46,694.9,17,2,none,no,Start G > 040 > 080 > 078 > 041 > 120 > 104 > 027 > 072 > 118 > 117 > 077 > 042 > 011 > 106 > 091 > 114 > 050 > Finish
19,15370,15370,0,Start B,11.50,671.3,17,0,none,no,Start B > 072 > 027 > 118 > 042 > 077 > 017 > 028 > 117 > 099 > 029 > 097 > 116 > 075 > 021 > 113 > 091 > 114 > Finish
20,15347,15347,0,Start G,11.48,677.0,15,1,none,no,Start G > 040 > 078 > 120 > 072 > 118 > 017 > 028 > 117 > 042 > 099 > 029 > 116 > 091 > 114 > 050 > Finish
