Step,Location,Points,Drive (min),Photo (min),Extra (min),Cumulative Time (h),Cumulative Dist (km),Notes
1,Start G,0,0,0,0,0.00,0,START
2,040,999,17,3,0,0.33,12.1,
3,080,555,28,3,0,0.84,41.7,
4,041,808,31,3,0,1.42,69.3,
5,078,1717,22,3,0,1.82,89.6,
6,118,1380,76,3,0,3.13,178.0,
7,017,465,30,3,0,3.68,206.6,
8,028,999,15,3,0,3.98,218.6,
9,042,999,57,3,15,5.24,271.8,fuel stop
10,117,1380,25,3,0,5.70,295.8,
11,077,501,10,3,0,5.93,307.2,
12,099,888,35,3,0,6.56,338.2,
13,083,396,13,3,0,6.82,349.0,
14,029,898,39,3,0,7.52,398.8,
15,116,767,24,3,0,7.96,422.3,
16,075,477,54,3,0,8.90,473.7,
17,091,1450,33,3,15,9.76,510.0,fuel stop
18,113,867,23,3,0,10.20,530.2,
19,050,800,50,3,0,11.08,595.8,
20,Finish,0,25,0,0,11.50,626.3,FINISH
