Step,Location,Points,Drive (min),Photo (min),Extra (min),Cumulative Time (h),Cumulative Dist (km),Notes
1,Start E,0,0,0,0,0.00,0,START
2,016,572,17,3,0,0.34,18.6,
3,088,799,30,3,0,0.88,49.5,
4,058,1100,73,3,0,2.14,126.9,
5,072,1333,78,3,0,3.49,226.1,
6,027,631,15,3,15,4.04,244.8,fuel stop
7,118,1380,57,3,0,5.05,322.3,
8,117,1380,17,3,0,5.38,338.5,
9,042,999,25,3,0,5.86,362.5,
10,077,501,26,3,0,6.35,387.1,
11,029,898,49,3,0,7.22,447.2,
12,106,982,32,3,15,8.05,492.4,fuel stop
13,021,814,67,3,0,9.22,574.2,
14,113,867,36,3,0,9.86,608.3,
15,091,1450,23,3,0,10.30,628.5,
16,050,800,43,3,0,11.07,686.1,
17,Finish,0,25,0,0,11.48,716.6,FINISH
