Route,Score,Waypoint Pts,Bonuses,Start,Time (h),Distance (km),Stops,Margin (min),Combos,Tunnel,Waypoints
1,15504,13504,2000,Start C,11.49,714.0,15,0,none,YES,Start C > 036 > 110 > 002 > 113 > 091 > 114 > 116 > 118 > 042 > 117 > 077 > 099 > 029 > 106 > 050 > Finish
2,14944,12944,2000,Start C,11.45,650.9,15,3,none,YES,Start C > 036 > 002 > 110 > 113 > 091 > 021 > 075 > 116 > 118 > 117 > 077 > 029 > 097 > 114 > 050 > Finish
3,14941,12941,2000,Start C,11.48,715.6,14,1,none,YES,Start C > 036 > 012 > 043 > 011 > 029 > 099 > 117 > 118 > 042 > 077 > 106 > 091 > 113 > 050 > Finish
4,14865,12865,2000,Start E,11.46,719.1,15,2,none,YES,Start E > 016 > 088 > 058 > 072 > 027 > 104 > 118 > 117 > 077 > 099 > 011 > 106 > 091 > 075 > 050 > Finish
5,14780,14780,0,Start E,11.48,690.6,16,1,none,no,Start E > 016 > 088 > 058 > 027 > 072 > 118 > 117 > 077 > 099 > 083 > 029 > 097 > 116 > 091 > 113 > 050 > Finish
6,14771,14771,0,Start A,11.37,692.8,15,8,none,no,Start A > 058 > 072 > 118 > 117 > 042 > 077 > 099 > 029 > 106 > 043 > 012 > 113 > 091 > 114 > 050 > Finish
7,14741,12741,2000,Start A,11.47,718.9,13,2,none,YES,Start A > 088 > 058 > 072 > 118 > 077 > 117 > 099 > 083 > 029 > 116 > 106 > 091 > 113 > Finish
8,14662,12662,2000,Start E,11.49,701.8,14,0,none,YES,Start E > 091 > 113 > 114 > 043 > 106 > 118 > 117 > 017 > 077 > 099 > 029 > 116 > 075 > 050 > Finish
9,14643,12643,2000,Start C,11.50,714.4,13,0,none,YES,Start C > 036 > 110 > 113 > 091 > 043 > 106 > 029 > 117 > 077 > 042 > 118 > 116 > 075 > Finish
10,14636,14636,0,Start A,11.42,659.5,16,5,none,no,Start A > 058 > 111 > 027 > 104 > 072 > 118 > 117 > 077 > 099 > 029 > 097 > 116 > 021 > 091 > 114 > 050 > Finish
11,14632,14632,0,Start A,11.42,663.8,16,5,none,no,Start A > 058 > 111 > 027 > 104 > 072 > 118 > 117 > 017 > 028 > 077 > 099 > 029 > 116 > 091 > 113 > 050 > Finish
12,14613,14613,0,Start A,11.37,680.0,15,8,none,no,Start A > 088 > 058 > 027 > 072 > 118 > 117 > 077 > 099 > 029 > 011 > 106 > 043 > 091 > 113 > 050 > Finish
13,14610,12610,2000,Start A,11.48,715.6,12,1,none,YES,Start A > 058 > 072 > 117 > 118 > 042 > 029 > 097 > 116 > 106 > 091 > 114 > 050 > Finish
14,14547,12547,2000,Start E,11.50,707.9,13,0,none,YES,Start E > 091 > 114 > 075 > 043 > 106 > 118 > 117 > 042 > 077 > 099 > 029 > 097 > 116 > Finish
15,14534,12534,2000,Start A,11.47,717.9,11,2,none,YES,Start A > 031 > 088 > 058 > 072 > 118 > 117 > 042 > 106 > 043 > 091 > 113 > Finish
16,14506,14506,0,Start E,11.48,716.6,15,1,none,no,Start E > 016 > 088 > 058 > 072 > 027 > 118 > 117 > 042 > 077 > 029 > 106 > 021 > 113 > 091 > 050 > Finish
17,14495,14495,0,Start A,11.48,710.1,15,1,none,no,Start A > 102 > 058 > 111 > 027 > 072 > 118 > 117 > 042 > 077 > 029 > 106 > 043 > 091 > 114 > 050 > Finish
18,14489,14489,0,Start A,11.41,686.2,15,6,none,no,Start A > 058 > 072 > 027 > 118 > 042 > 117 > 077 > 099 > 029 > 097 > 116 > 075 > 091 > 113 > 050 > Finish
19,14478,14478,0,Start E,11.48,699.2,16,1,none,no,Start E > 016 > 088 > 058 > 027 > 072 > 118 > 117 > 077 > 042 > 099 > 029 > 116 > 091 > 114 > 075 > 050 > Finish
20,14471,12471,2000,Start A,11.49,698.4,13,0,none,YES,Start A > 058 > 111 > 027 > 072 > 104 > 118 > 077 > 042 > 117 > 099 > 106 > 043 > 050 > Finish
